batch	batch_id	cond
scell.nextera.1CDU_604	2	1CDU_2851	1CDU
scell.nextera.1CDU_605	2	1CDU_2851	1CDU
scell.nextera.1CDU_606	2	1CDU_2851	1CDU
scell.nextera.1CDU_607	2	1CDU_2851	1CDU
scell.nextera.1CDU_608	2	1CDU_2851	1CDU
scell.nextera.1CDU_131	3	1CDU_2863	1CDU
scell.nextera.1CDU_132	3	1CDU_2863	1CDU
scell.nextera.1CDU_133	3	1CDU_2863	1CDU
scell.nextera.1CDU_134	3	1CDU_2863	1CDU
scell.nextera.1CDU_135	3	1CDU_2863	1CDU
scell.nextera.1CDU_136	3	1CDU_2863	1CDU
scell.nextera.1CDU_137	3	1CDU_2863	1CDU
scell.nextera.1CDU_138	3	1CDU_2863	1CDU
scell.nextera.1CDU_141	3	1CDU_2863	1CDU
scell.nextera.1CDU_142	3	1CDU_2863	1CDU
scell.nextera.1CDU_143	3	1CDU_2863	1CDU
scell.nextera.1CDU_144	3	1CDU_2863	1CDU
scell.nextera.1CDU_145	3	1CDU_2863	1CDU
scell.nextera.1CDU_146	3	1CDU_2863	1CDU
scell.nextera.1CDU_147	3	1CDU_2863	1CDU
scell.nextera.1CDU_148	3	1CDU_2863	1CDU
scell.nextera.1CDU_151	3	1CDU_2863	1CDU
scell.nextera.1CDU_152	3	1CDU_2863	1CDU
scell.nextera.1CDU_153	3	1CDU_2863	1CDU
scell.nextera.1CDU_154	3	1CDU_2863	1CDU
scell.nextera.1CDU_155	3	1CDU_2863	1CDU
scell.nextera.1CDU_156	3	1CDU_2863	1CDU
scell.nextera.1CDU_157	3	1CDU_2863	1CDU
scell.nextera.1CDU_158	3	1CDU_2863	1CDU
scell.nextera.1CDU_161	3	1CDU_2863	1CDU
scell.nextera.1CDU_162	3	1CDU_2863	1CDU
scell.nextera.1CDU_163	3	1CDU_2863	1CDU
scell.nextera.1CDU_164	3	1CDU_2863	1CDU
scell.nextera.1CDU_165	3	1CDU_2863	1CDU
scell.nextera.1CDU_166	3	1CDU_2863	1CDU
scell.nextera.1CDU_167	3	1CDU_2863	1CDU
scell.nextera.1CDU_168	3	1CDU_2863	1CDU
scell.nextera.1CDU_171	3	1CDU_2863	1CDU
scell.nextera.1CDU_172	3	1CDU_2863	1CDU
scell.nextera.1CDU_173	3	1CDU_2863	1CDU
scell.nextera.1CDU_174	3	1CDU_2863	1CDU
scell.nextera.1CDU_175	3	1CDU_2863	1CDU
scell.nextera.1CDU_176	3	1CDU_2863	1CDU
scell.nextera.1CDU_177	3	1CDU_2863	1CDU
scell.nextera.1CDU_178	3	1CDU_2863	1CDU
scell.nextera.1CDU_181	3	1CDU_2863	1CDU
scell.nextera.1CDU_182	3	1CDU_2863	1CDU
scell.nextera.1CDU_183	3	1CDU_2863	1CDU
scell.nextera.1CDU_184	3	1CDU_2863	1CDU
scell.nextera.1CDU_185	3	1CDU_2863	1CDU
scell.nextera.1CDU_186	3	1CDU_2863	1CDU
scell.nextera.1CDU_187	3	1CDU_2863	1CDU
scell.nextera.1CDU_188	3	1CDU_2863	1CDU
scell.nextera.1CDU_191	3	1CDU_2863	1CDU
scell.nextera.1CDU_192	3	1CDU_2863	1CDU
scell.nextera.1CDU_193	3	1CDU_2863	1CDU
scell.nextera.1CDU_194	3	1CDU_2863	1CDU
scell.nextera.1CDU_195	3	1CDU_2863	1CDU
scell.nextera.1CDU_196	3	1CDU_2863	1CDU
scell.nextera.1CDU_197	3	1CDU_2863	1CDU
scell.nextera.1CDU_198	3	1CDU_2863	1CDU
scell.nextera.1CDU_201	3	1CDU_2863	1CDU
scell.nextera.1CDU_202	3	1CDU_2863	1CDU
scell.nextera.1CDU_203	3	1CDU_2863	1CDU
scell.nextera.1CDU_204	3	1CDU_2863	1CDU
scell.nextera.1CDU_205	3	1CDU_2863	1CDU
scell.nextera.1CDU_206	3	1CDU_2863	1CDU
scell.nextera.1CDU_207	3	1CDU_2863	1CDU
scell.nextera.1CDU_208	3	1CDU_2863	1CDU
scell.nextera.1CDU_211	3	1CDU_2863	1CDU
scell.nextera.1CDU_212	3	1CDU_2863	1CDU
scell.nextera.1CDU_213	3	1CDU_2863	1CDU
scell.nextera.1CDU_214	3	1CDU_2863	1CDU
scell.nextera.1CDU_215	3	1CDU_2863	1CDU
